requested_model_name,actual_model_name,dataset_name,strategy,n,num_correct,accuracy,ci_low,ci_high,mean_latency_sec,peak_vram_gb,mean_output_tokens,mean_tokens_per_sec
qwen3_8b,qwen3_8b,gsm8k,cot,238,188,0.7899159663865546,0.7337620298546615,0.8368594016939223,6.8713942611073495,15.256451606750488,,50.0614454690042
gemma_4_26b_a4b,gemma_4_26b_a4b,gsm8k,few_shot_cot,238,162,0.680672268907563,0.6189728089182516,0.7366318513221704,14.346437550877699,48.06737232208252,,21.867238099054873
gemma_4_e2b,gemma_4_e2b,gsm8k,few_shot_cot,238,169,0.7100840336134454,0.6494646868944958,0.7640291040827389,4.514768600463867,9.543148517608644,,31.675070115662148
gemma_4_e4b,gemma_4_e4b,gsm8k,few_shot_cot,238,179,0.7521008403361344,0.6935281838676295,0.802664365305052,5.405440916909891,14.89453125,,26.24558515491535
phi_4_mini_reasoning,phi_4_mini_reasoning,gsm8k,few_shot_cot,238,75,0.31512605042016806,0.25943763026185895,0.3766878336781744,8.152925608069205,7.145148277282715,,62.80218819220943
phi_4_reasoning,phi_4_reasoning,gsm8k,few_shot_cot,238,5,0.02100840336134454,0.00900598570518914,0.04822817086671577,9.659512542422954,27.305460929870605,,53.006337573683496
qwen3_30b_a3b,qwen3_30b_a3b,gsm8k,few_shot_cot,238,192,0.8067226890756303,0.7518453478509413,0.8518555869758213,14.740487090053678,57.62053298950195,,24.320407400037503
qwen3_8b,qwen3_8b,gsm8k,few_shot_cot,238,195,0.819327731092437,0.7654992539921194,0.8630113082932772,6.67411223961776,15.256451606750488,,49.586011447207945
gemma_4_26b_a4b,gemma_4_26b_a4b,gsm8k,zero_shot,238,189,0.7941176470588235,0.7382704038832029,0.8406209034849255,8.921278915626287,48.06737232208252,,21.48036979527856
gemma_4_e2b,gemma_4_e2b,gsm8k,zero_shot,238,165,0.6932773109243697,0.6320072584707848,0.7484070292282712,4.548525708297095,9.543148517608644,,32.18231450944435
gemma_4_e4b,gemma_4_e4b,gsm8k,zero_shot,238,188,0.7899159663865546,0.7337620298546615,0.8368594016939223,4.930979899482942,14.89453125,,25.79397829585096
phi_4_mini_reasoning,phi_4_mini_reasoning,gsm8k,zero_shot,238,43,0.18067226890756302,0.13698869170672273,0.2345007460078805,8.328409769783626,7.145148277282715,,61.47829102192262
phi_4_reasoning,phi_4_reasoning,gsm8k,zero_shot,238,10,0.04201680672268908,0.022979992778216888,0.07560354289141151,9.730884524437936,27.305460929870605,,52.61256873989946
qwen3_30b_a3b,qwen3_30b_a3b,gsm8k,zero_shot,238,186,0.7815126050420168,0.7247691189893162,0.8293125609201784,14.301728598679565,57.62053298950195,,25.52142211304134
