source_file,requested_model_name,actual_model_name,dataset_name,strategy,n,num_correct,accuracy,ci_low,ci_high,mean_latency_sec,peak_vram_gb,mean_output_tokens,mean_tokens_per_sec
journal_full500_v1__qwen3_30b_a3b__math_l1_l3__cot__n238.csv,qwen3_30b_a3b,qwen3_30b_a3b,math_l1_l3,cot,238,135,0.5672268907563025,0.5037058378868592,0.6286122524688783,26.09842925701885,57.67229080200195,693.2689075630252,26.544199326382753
journal_full500_v1__qwen3_8b__math_l1_l3__cot__n238.csv,qwen3_8b,qwen3_8b,math_l1_l3,cot,238,59,0.24789915966386555,0.1973364819527133,0.3064706792132706,13.716047882282433,15.256451606750488,668.1764705882352,48.707639467041
journal_full500_v1__gemma_4_26b_a4b__math_l1_l3__few_shot_cot__n238.csv,gemma_4_26b_a4b,gemma_4_26b_a4b,math_l1_l3,few_shot_cot,238,136,0.5714285714285714,0.5079137307882221,0.632674240214749,23.308630900473155,48.06737232208252,516.7436974789916,22.179097770969776
journal_full500_v1__gemma_4_e2b__math_l1_l3__few_shot_cot__n238.csv,gemma_4_e2b,gemma_4_e2b,math_l1_l3,few_shot_cot,238,164,0.6890756302521008,0.6276581309844386,0.7444864981410734,8.838293291581403,9.543148517608644,283.109243697479,32.32758133155149
journal_full500_v1__gemma_4_e4b__math_l1_l3__few_shot_cot__n238.csv,gemma_4_e4b,gemma_4_e4b,math_l1_l3,few_shot_cot,238,165,0.6932773109243697,0.6320084248855415,0.7484060848872041,8.34449983372533,14.89453125,216.00840336134453,26.141265841024524
journal_full500_v1__phi_4_mini_reasoning__math_l1_l3__few_shot_cot__n238.csv,phi_4_mini_reasoning,phi_4_mini_reasoning,math_l1_l3,few_shot_cot,238,93,0.3907563025210084,0.33097328754823857,0.45400981562368775,16.37027954563749,7.145148277282715,1024.0,62.55478482117843
journal_full500_v1__phi_4_reasoning__math_l1_l3__few_shot_cot__n238.csv,phi_4_reasoning,phi_4_reasoning,math_l1_l3,few_shot_cot,238,7,0.029411764705882353,0.01431864894154166,0.059454718568295116,19.444584540881905,27.305460929870605,1012.5882352941177,52.07581493788305
journal_full500_v1__qwen3_30b_a3b__math_l1_l3__few_shot_cot__n238.csv,qwen3_30b_a3b,qwen3_30b_a3b,math_l1_l3,few_shot_cot,238,147,0.6176470588235294,0.5545027847106978,0.677053873411843,22.52855570174503,57.67229080200195,605.9873949579832,26.86684924010914
journal_full500_v1__qwen3_8b__math_l1_l3__few_shot_cot__n238.csv,qwen3_8b,qwen3_8b,math_l1_l3,few_shot_cot,238,155,0.6512605042016807,0.5887463132592619,0.7089693900411478,11.50504875912511,15.256451606750488,563.1260504201681,48.91614225130165
journal_full500_v1__gemma_4_26b_a4b__math_l1_l3__zero_shot__n238.csv,gemma_4_26b_a4b,gemma_4_26b_a4b,math_l1_l3,zero_shot,238,165,0.6932773109243697,0.6320084248855415,0.7484060848872041,14.007468972652525,48.06737232208252,310.2647058823529,22.094876463550225
journal_full500_v1__gemma_4_e2b__math_l1_l3__zero_shot__n238.csv,gemma_4_e2b,gemma_4_e2b,math_l1_l3,zero_shot,238,147,0.6176470588235294,0.5545027847106978,0.677053873411843,11.640101828823695,9.543148517608644,372.87394957983196,32.32108005617292
journal_full500_v1__gemma_4_e4b__math_l1_l3__zero_shot__n238.csv,gemma_4_e4b,gemma_4_e4b,math_l1_l3,zero_shot,238,150,0.6302521008403361,0.5673074889437856,0.689058811120456,12.096383293965408,14.89453125,307.96638655462186,25.732781309157772
journal_full500_v1__phi_4_mini_reasoning__math_l1_l3__zero_shot__n238.csv,phi_4_mini_reasoning,phi_4_mini_reasoning,math_l1_l3,zero_shot,238,60,0.25210084033613445,0.20117133245458244,0.31090570935863504,16.008988777801644,7.145148277282715,1024.0,63.9651273212283
journal_full500_v1__phi_4_reasoning__math_l1_l3__zero_shot__n238.csv,phi_4_reasoning,phi_4_reasoning,math_l1_l3,zero_shot,238,9,0.037815126050420166,0.020020023218669913,0.07029310558563406,19.005133058625358,27.305460929870605,1002.8781512605042,52.768386421299034
journal_full500_v1__qwen3_30b_a3b__math_l1_l3__zero_shot__n238.csv,qwen3_30b_a3b,qwen3_30b_a3b,math_l1_l3,zero_shot,238,143,0.6008403361344538,0.53749641404586,0.6609807214877463,25.112808774718467,57.67229080200195,676.7983193277311,26.92929372376217
journal_full500_v1__qwen3_8b__math_l1_l3__zero_shot__n238.csv,qwen3_8b,qwen3_8b,math_l1_l3,zero_shot,238,49,0.20588235294117646,0.15937986067902113,0.2617284940146268,13.360658148804507,15.256451606750488,654.2352941176471,48.948506774439934
journal_full500_v1__gemma_4_26b_a4b__truthfulqa_mc1__cot__n500.csv,gemma_4_26b_a4b,gemma_4_26b_a4b,truthfulqa_mc1,cot,500,375,0.75,0.7102363265170449,0.785951503252179,2.5046011863797903,48.06737232208252,54.182,18.870482076376955
journal_full500_v1__gemma_4_e2b__truthfulqa_mc1__cot__n500.csv,gemma_4_e2b,gemma_4_e2b,truthfulqa_mc1,cot,500,281,0.562,0.5182029258694332,0.6048516559133346,1.2242190560102464,9.543148517608644,38.96,31.450878878092496
journal_full500_v1__gemma_4_e4b__truthfulqa_mc1__cot__n500.csv,gemma_4_e4b,gemma_4_e4b,truthfulqa_mc1,cot,500,314,0.628,0.5848089173303663,0.6692392515114762,2.8262801883667708,14.89453125,74.708,25.94730840919183
journal_full500_v1__phi_4_mini_reasoning__truthfulqa_mc1__cot__n500.csv,phi_4_mini_reasoning,phi_4_mini_reasoning,truthfulqa_mc1,cot,500,492,0.984,0.9687488914666058,0.9918707469666117,4.084058973908425,7.145148277282715,256.0,62.68554959848986
journal_full500_v1__phi_4_reasoning__truthfulqa_mc1__cot__n500.csv,phi_4_reasoning,phi_4_reasoning,truthfulqa_mc1,cot,500,497,0.994,0.9825097478959467,0.9979574037280398,4.91040402457118,27.305460929870605,253.74,51.67428936279749
journal_full500_v1__qwen3_30b_a3b__truthfulqa_mc1__cot__n500.csv,qwen3_30b_a3b,qwen3_30b_a3b,truthfulqa_mc1,cot,500,492,0.984,0.9687488914666058,0.9918707469666117,9.600792984858156,57.67229080200195,252.71,26.321586179843102
journal_full500_v1__qwen3_8b__truthfulqa_mc1__cot__n500.csv,qwen3_8b,qwen3_8b,truthfulqa_mc1,cot,500,495,0.99,0.9768069002442693,0.9957212461034096,5.192242706246674,15.256451606750488,254.372,48.993379452318756
journal_full500_v1__gemma_4_26b_a4b__truthfulqa_mc1__few_shot_cot__n500.csv,gemma_4_26b_a4b,gemma_4_26b_a4b,truthfulqa_mc1,few_shot_cot,500,410,0.82,0.7839253300173655,0.851195092087241,1.7315471309050918,48.06737232208252,36.568,16.621967072621214
journal_full500_v1__gemma_4_e2b__truthfulqa_mc1__few_shot_cot__n500.csv,gemma_4_e2b,gemma_4_e2b,truthfulqa_mc1,few_shot_cot,500,259,0.518,0.4742321113679192,0.561493412375465,5.888101593762636,9.543148517608644,186.72,31.61782213005699
journal_full500_v1__gemma_4_e4b__truthfulqa_mc1__few_shot_cot__n500.csv,gemma_4_e4b,gemma_4_e4b,truthfulqa_mc1,few_shot_cot,500,371,0.742,0.7019060194394218,0.7784037997771869,0.3069331584647298,14.89453125,7.88,25.449295105015402
journal_full500_v1__phi_4_mini_reasoning__truthfulqa_mc1__few_shot_cot__n500.csv,phi_4_mini_reasoning,phi_4_mini_reasoning,truthfulqa_mc1,few_shot_cot,500,483,0.966,0.9462286344983655,0.9786654801914678,4.127920882053673,7.145148277282715,256.0,62.01893583815983
journal_full500_v1__phi_4_reasoning__truthfulqa_mc1__few_shot_cot__n500.csv,phi_4_reasoning,phi_4_reasoning,truthfulqa_mc1,few_shot_cot,500,500,1.0,0.9923756595384479,1.0,4.800454337641597,27.305460929870605,256.0,53.32986120611841
journal_full500_v1__qwen3_30b_a3b__truthfulqa_mc1__few_shot_cot__n500.csv,qwen3_30b_a3b,qwen3_30b_a3b,truthfulqa_mc1,few_shot_cot,500,491,0.982,0.9661483290912607,0.990501806703803,9.671142636790872,57.67229080200195,250.386,25.88830938574906
journal_full500_v1__qwen3_8b__truthfulqa_mc1__few_shot_cot__n500.csv,qwen3_8b,qwen3_8b,truthfulqa_mc1,few_shot_cot,500,493,0.986,0.9713869308622147,0.9932022102091564,5.15284157294035,15.256451606750488,251.642,48.83752400322034
journal_full500_v1__gemma_4_26b_a4b__truthfulqa_mc1__zero_shot__n500.csv,gemma_4_26b_a4b,gemma_4_26b_a4b,truthfulqa_mc1,zero_shot,500,396,0.792,0.7542636968800828,0.8252836882903708,2.5280022158771756,48.06737232208252,54.142,18.693308969717535
journal_full500_v1__gemma_4_e2b__truthfulqa_mc1__zero_shot__n500.csv,gemma_4_e2b,gemma_4_e2b,truthfulqa_mc1,zero_shot,500,273,0.546,0.502174287351395,0.5891242733261424,2.594820292390883,9.543148517608644,82.096,31.340448528137674
journal_full500_v1__gemma_4_e4b__truthfulqa_mc1__zero_shot__n500.csv,gemma_4_e4b,gemma_4_e4b,truthfulqa_mc1,zero_shot,500,366,0.732,0.6915162794621877,0.768946026563652,0.5445996072366833,14.89453125,14.042,25.3602409844913
journal_full500_v1__phi_4_mini_reasoning__truthfulqa_mc1__zero_shot__n500.csv,phi_4_mini_reasoning,phi_4_mini_reasoning,truthfulqa_mc1,zero_shot,500,477,0.954,0.9319222072317267,0.9691548916291838,4.1001399597749115,7.145148277282715,256.0,62.439401038391225
journal_full500_v1__phi_4_reasoning__truthfulqa_mc1__zero_shot__n500.csv,phi_4_reasoning,phi_4_reasoning,truthfulqa_mc1,zero_shot,500,498,0.996,0.9855342847848231,0.9989023694773173,4.883699329771101,27.305460929870605,253.214,51.849049798378005
journal_full500_v1__qwen3_30b_a3b__truthfulqa_mc1__zero_shot__n500.csv,qwen3_30b_a3b,qwen3_30b_a3b,truthfulqa_mc1,zero_shot,500,495,0.99,0.9768069002442693,0.9957212461034096,9.673706889376044,57.67131423950195,251.308,25.97621929174377
journal_full500_v1__qwen3_8b__truthfulqa_mc1__zero_shot__n500.csv,qwen3_8b,qwen3_8b,truthfulqa_mc1,zero_shot,500,481,0.962,0.9414152274693561,0.9755398819441696,4.665694271959365,15.256451606750488,228.88,48.95232279650973
