dataset,strategy,requested_model_a,requested_model_b,n_overlap,acc_a,acc_b,n01_a0_b1,n10_a1_b0,mcnemar_stat,p_value
gsm8k,cot,qwen3_30b_a3b,qwen3_8b,500,0.74,0.776,42,24,4.378787878787879,0.03558272445223169
gsm8k,few_shot_cot,gemma_4_26b_a4b,gemma_4_e2b,500,0.684,0.718,97,80,1.4463276836158192,0.22902156233365842
gsm8k,few_shot_cot,gemma_4_26b_a4b,gemma_4_e4b,500,0.684,0.738,96,69,4.096969696969697,0.042633182884440735
gsm8k,few_shot_cot,gemma_4_26b_a4b,phi_4_mini_reasoning,500,0.684,0.316,40,224,126.85227272727273,3.2632237204073077e-32
gsm8k,few_shot_cot,gemma_4_26b_a4b,phi_4_reasoning,500,0.684,0.018,4,337,323.2375366568915,2.500889750746128e-94
gsm8k,few_shot_cot,gemma_4_26b_a4b,qwen3_30b_a3b,500,0.684,0.762,115,76,7.560209424083769,0.00582337933645323
gsm8k,few_shot_cot,gemma_4_26b_a4b,qwen3_8b,500,0.684,0.812,117,53,23.347058823529412,1.020534930333713e-06
gsm8k,few_shot_cot,gemma_4_e2b,gemma_4_e4b,500,0.718,0.738,60,50,0.7363636363636363,0.39092745669950485
gsm8k,few_shot_cot,gemma_4_e2b,phi_4_mini_reasoning,500,0.718,0.316,31,232,152.0912547528517,3.133234363101763e-39
gsm8k,few_shot_cot,gemma_4_e2b,phi_4_reasoning,500,0.718,0.018,2,352,344.07062146892656,3.4246805056864276e-102
gsm8k,few_shot_cot,gemma_4_e2b,qwen3_30b_a3b,500,0.718,0.762,71,49,3.675,0.05477979691370221
gsm8k,few_shot_cot,gemma_4_e2b,qwen3_8b,500,0.718,0.812,80,33,18.72566371681416,1.1461598747783254e-05
gsm8k,few_shot_cot,gemma_4_e4b,phi_4_mini_reasoning,500,0.738,0.316,30,241,162.73062730627305,4.174418843516424e-42
gsm8k,few_shot_cot,gemma_4_e4b,phi_4_reasoning,500,0.738,0.018,3,363,352.1338797814208,1.0873261969914714e-103
gsm8k,few_shot_cot,gemma_4_e4b,qwen3_30b_a3b,500,0.738,0.762,73,61,0.9029850746268657,0.34201470886630886
gsm8k,few_shot_cot,gemma_4_e4b,qwen3_8b,500,0.738,0.812,82,45,10.204724409448819,0.001307385123499996
